country,continent,flag,map,alias/0,alias/1,alias/2
Hungary,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Hungary.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Hungary.png,,,
Iceland,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Iceland.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Iceland.png,,,
India,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/India.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/India.png,,,
Indonesia,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Indonesia.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Indonesia.png,,,
Iran,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Iran.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Iran.png,,,
Iraq,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Iraq.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Iraq.png,,,
Ireland,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Ireland.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Ireland.png,,,
Israel,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Israel.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Israel.png,,,
Italy,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Italy.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Italy.png,,,
Ivory Coast,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Ivory%20Coast.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Ivory%20Coast.png,cote d'ivoire,,
Jamaica,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Jamaica.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Jamaica.png,,,
Japan,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Japan.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Japan.png,,,
Jordan,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Jordan.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Jordan.png,,,
Kazakhstan,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Kazakhstan.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Kazakhstan.png,,,
Kenya,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Kenya.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Kenya.png,,,
Kiribati,Oceania,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Kiribati.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Kiribati.png,,,
Kosovo,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Kosovo.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Kosovo.png,,,
Kuwait,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Kuwait.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Kuwait.png,,,
Kyrgyzstan,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Kyrgyzstan.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Kyrgyzstan.png,,,
Laos,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Laos.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Laos.png,,,
Latvia,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Latvia.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Latvia.png,,,
Lebanon,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Lebanon.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Lebanon.png,,,
Lesotho,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Lesotho.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Lesotho.png,,,
Liberia,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Liberia.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Liberia.png,,,
Libya,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Libya.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Libya.png,,,
Liechtenstein,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Liechtenstein.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Liechtenstein.png,,,
Lithuania,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Lithuania.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Lithuania.png,,,
Luxembourg,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Luxembourg.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Luxembourg.png,,,
Madagascar,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Madagascar.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Madagascar.png,,,
Malawi,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Malawi.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Malawi.png,,,
Malaysia,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Malaysia.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Malaysia.png,,,
Maldives,Asia,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Maldives.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Maldives.png,,,
Mali,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Mali.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Mali.png,,,
Malta,Europe,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Malta.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Malta.png,,,
Marshall Islands,Oceania,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Marshall%20Islands.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Marshall%20Islands.png,,,
Mauritania,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Mauritania.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Mauritania.png,,,
Mauritius,Africa,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Mauritius.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Mauritius.png,,,
Mexico,Americas,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Mexico.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Mexico.png,,,
Micronesia,Oceania,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/flags/Micronesia.png,https://raw.githubusercontent.com/Naviamold1/common-country-list/main/maps/Micronesia.png,,,
